,iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,Unnamed: 0,Country Name,Country Code,2020
109,LSO,Lesotho,2021-12-16,688097.0,648817.0,641007.0,,,6527.0,31.87,30.05,29.69,,3023.0,2768.0,0.128,141,Lesotho,LSO,1875227642.0
110,LTU,Lithuania,2021-12-28,4083697.0,1913150.0,1827851.0,611805.0,22175.0,11096.0,151.82,71.12,67.95,22.74,4125.0,1021.0,0.038,143,Lithuania,LTU,56546957475.0
111,LUX,Luxembourg,2021-12-26,1045759.0,461651.0,429705.0,183251.0,61.0,4503.0,164.73,72.72,67.69,28.87,7093.0,420.0,0.066,144,Luxembourg,LUX,73353132794.0
112,LVA,Latvia,2021-12-28,2530212.0,1310530.0,1257744.0,240609.0,10186.0,6115.0,135.53,70.2,67.37,12.89,3275.0,790.0,0.042,145,Latvia,LVA,33707320816.0
113,MAC,Macao,2021-12-27,967344.0,492243.0,459583.0,,2656.0,1229.0,146.93,74.76,69.8,,1867.0,197.0,0.03,146,"Macao SAR, China",MAC,25586111076.0
114,MAR,Morocco,2021-12-27,50265580.0,24630172.0,22994609.0,,68921.0,63423.0,134.6,65.95,61.57,,1698.0,4545.0,0.012,148,Morocco,MAR,114725000000.0
115,MCO,Monaco,2021-09-16,49980.0,26672.0,23308.0,,,103.0,126.47,67.49,58.98,,2606.0,32.0,0.081,149,Monaco,MCO,
116,MDA,Moldova,2021-12-28,1764035.0,989897.0,978292.0,,6544.0,5178.0,43.84,24.6,24.31,,1287.0,1953.0,0.049,150,Moldova,MDA,11915547263.0
117,MDG,Madagascar,2021-12-06,742069.0,589003.0,541160.0,,13544.0,8090.0,2.61,2.07,1.9,,285.0,8047.0,0.028,151,Madagascar,MDG,13056079982.0
118,MDV,Maldives,2021-12-26,787873.0,396635.0,367068.0,24170.0,452.0,376.0,144.93,72.96,67.52,4.45,692.0,32.0,0.006,152,Maldives,MDV,3742769967.0
119,MEX,Mexico,2021-12-28,148562902.0,81915015.0,72711671.0,,6744716.0,12318.0,114.05,62.88,55.82,,95.0,155.0,0.0,154,Mexico,MEX,1073920000000.0
120,MKD,North Macedonia,2021-12-19,1741245.0,840411.0,811664.0,89170.0,3869.0,2350.0,83.61,40.35,38.97,4.28,1128.0,514.0,0.025,157,North Macedonia,MKD,12263710123.0
121,MLI,Mali,2021-12-28,1057653.0,877525.0,392809.0,,,5924.0,5.07,4.21,1.88,,284.0,2908.0,0.014,158,Mali,MLI,17465392916.0
122,MLT,Malta,2021-12-27,1043069.0,441288.0,435397.0,198772.0,9536.0,3814.0,202.11,85.5,84.36,38.51,7390.0,401.0,0.078,159,Malta,MLT,14647384608.0
123,MMR,Myanmar,2021-12-11,31859036.0,18829259.0,13029777.0,,3800.0,286479.0,58.13,34.36,23.77,,5227.0,180008.0,0.328,160,Myanmar,MMR,79852046611.0
124,MNE,Montenegro,2021-12-28,628821.0,283166.0,271471.0,74184.0,1348.0,11277.0,100.12,45.09,43.22,11.81,17956.0,202.0,0.032,162,Montenegro,MNE,4769860741.0
125,MNG,Mongolia,2021-12-28,5332165.0,2265849.0,2163214.0,903102.0,6639.0,6110.0,160.16,68.06,64.98,27.13,1835.0,162.0,0.005,163,Mongolia,MNG,13312981595.0
126,MOZ,Mozambique,2021-12-26,14408516.0,8484211.0,5924305.0,,295812.0,200472.0,44.8,26.38,18.42,,6233.0,108505.0,0.337,165,Mozambique,MOZ,14019446610.0
127,MRT,Mauritania,2021-12-26,1843386.0,1119680.0,723706.0,,3777.0,2069.0,38.6,23.45,15.16,,433.0,779.0,0.016,166,Mauritania,MRT,7913680231.0
128,MUS,Mauritius,2021-12-28,2036896.0,947513.0,909900.0,,35153.0,3037.0,159.95,74.41,71.45,,2385.0,2472.0,0.194,167,Mauritius,MUS,10920606198.0
129,MWI,Malawi,2021-12-28,1764634.0,1476496.0,680558.0,,18715.0,12894.0,8.98,7.51,3.46,,656.0,12280.0,0.063,168,Malawi,MWI,12182348213.0
130,MYS,Malaysia,2021-12-28,57112144.0,25985559.0,25596683.0,5727151.0,153228.0,124575.0,174.25,79.28,78.1,17.47,3801.0,2533.0,0.008,169,Malaysia,MYS,337006000000.0
131,NAM,Namibia,2021-12-23,736133.0,399636.0,336497.0,,3837.0,2817.0,28.45,15.45,13.01,,1089.0,1528.0,0.059,171,Namibia,NAM,10619194505.0
132,NCL,New Caledonia,2021-12-20,355717.0,182486.0,173231.0,,,198.0,123.42,63.32,60.1,,687.0,62.0,0.022,172,New Caledonia,NCL,
133,NER,Niger,2021-11-28,971636.0,507223.0,464413.0,,,614.0,3.87,2.02,1.85,,24.0,81.0,0.0,173,Niger,NER,13741378450.0
134,NGA,Nigeria,2021-12-27,14149682.0,9765729.0,4363620.0,,797209.0,168279.0,6.69,4.62,2.06,,796.0,136382.0,0.065,174,Nigeria,NGA,432294000000.0
135,NIC,Nicaragua,2021-12-15,7308467.0,4628897.0,2679570.0,,,67604.0,109.04,69.06,39.98,,10087.0,41522.0,0.62,175,Nicaragua,NIC,12621505383.0
136,NLD,Netherlands,2021-12-18,26595765.0,13307938.0,12198544.0,1956191.0,,122565.0,154.87,77.49,71.03,11.39,7137.0,2172.0,0.013,176,Netherlands,NLD,913865000000.0
137,NOR,Norway,2021-12-27,9662173.0,4280889.0,3914962.0,1466322.0,18658.0,20843.0,176.78,78.32,71.63,26.83,3813.0,812.0,0.015,177,Norway,NOR,362522000000.0
138,NPL,Nepal,2021-12-20,21988516.0,12251183.0,9737333.0,,163026.0,202219.0,74.1,41.28,32.81,,6814.0,129966.0,0.438,178,Nepal,NPL,33657175561.0
139,NRU,Nauru,2021-08-31,14863.0,7612.0,7251.0,,168.0,2.0,136.7,70.01,66.69,,184.0,2.0,0.018000000000000002,179,Nauru,NRU,114626625.6
140,NZL,New Zealand,2021-12-28,8119348.0,3972323.0,3839131.0,307894.0,5127.0,9885.0,158.5,77.55,74.94,6.01,1930.0,613.0,0.012,180,New Zealand,NZL,210701000000.0
