iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
MMR,Myanmar,2021-12-11,31859036.0,18829259.0,13029777.0,,3800.0,286479.0,58.13,34.36,23.77,,5227.0,180008.0,0.32799999999999996
MNE,Montenegro,2021-12-28,628821.0,283166.0,271471.0,74184.0,1348.0,11277.0,100.12,45.09,43.22,11.81,17956.0,202.0,0.032
MNG,Mongolia,2021-12-28,5332165.0,2265849.0,2163214.0,903102.0,6639.0,6110.0,160.16,68.06,64.98,27.13,1835.0,162.0,0.005
MOZ,Mozambique,2021-12-26,14408516.0,8484211.0,5924305.0,,295812.0,200472.0,44.8,26.38,18.42,,6233.0,108505.0,0.337
MRT,Mauritania,2021-12-26,1843386.0,1119680.0,723706.0,,3777.0,2069.0,38.6,23.45,15.16,,433.0,779.0,0.016
MSR,Montserrat,2021-12-23,3020.0,1547.0,1472.0,,,2.0,60.63,31.06,29.55,,402.0,0.0,0.0
MUS,Mauritius,2021-12-28,2036896.0,947513.0,909900.0,,35153.0,3037.0,159.95,74.41,71.45,,2385.0,2472.0,0.19399999999999998
MWI,Malawi,2021-12-28,1764634.0,1476496.0,680558.0,,18715.0,12894.0,8.98,7.51,3.46,,656.0,12280.0,0.063
MYS,Malaysia,2021-12-28,57112144.0,25985559.0,25596683.0,5727151.0,153228.0,124575.0,174.25,79.28,78.1,17.47,3801.0,2533.0,0.008
NAM,Namibia,2021-12-23,736133.0,399636.0,336497.0,,3837.0,2817.0,28.45,15.45,13.01,,1089.0,1528.0,0.059000000000000004
NCL,New Caledonia,2021-12-20,355717.0,182486.0,173231.0,,,198.0,123.42,63.32,60.1,,687.0,62.0,0.022000000000000002
NER,Niger,2021-11-28,971636.0,507223.0,464413.0,,,614.0,3.87,2.02,1.85,,24.0,81.0,0.0
NGA,Nigeria,2021-12-27,14149682.0,9765729.0,4363620.0,,797209.0,168279.0,6.69,4.62,2.06,,796.0,136382.0,0.065
NIC,Nicaragua,2021-12-15,7308467.0,4628897.0,2679570.0,,,67604.0,109.04,69.06,39.98,,10087.0,41522.0,0.62
NIU,Niue,2021-08-02,2352.0,1202.0,1150.0,,,42.0,145.72,74.47,71.25,,26022.0,1.0,0.062
NLD,Netherlands,2021-12-18,26595765.0,13307938.0,12198544.0,1956191.0,,122565.0,154.87,77.49,71.03,11.39,7137.0,2172.0,0.013000000000000001
NOR,Norway,2021-12-27,9662173.0,4280889.0,3914962.0,1466322.0,18658.0,20843.0,176.78,78.32,71.63,26.83,3813.0,812.0,0.015
NPL,Nepal,2021-12-20,21988516.0,12251183.0,9737333.0,,163026.0,202219.0,74.1,41.28,32.81,,6814.0,129966.0,0.43799999999999994
NRU,Nauru,2021-08-31,14863.0,7612.0,7251.0,,168.0,2.0,136.7,70.01,66.69,,184.0,2.0,0.018000000000000002
NZL,New Zealand,2021-12-28,8119348.0,3972323.0,3839131.0,307894.0,5127.0,9885.0,158.5,77.55,74.94,6.01,1930.0,613.0,0.012
OMN,Oman,2021-12-19,6046310.0,3121257.0,2890827.0,32412.0,3650.0,15961.0,115.75,59.76,55.34,0.62,3056.0,558.0,0.011000000000000001
OWID_AFR,Africa,2021-12-28,302585007.0,192412719.0,124048203.0,839067.0,807260.0,1962103.0,22.03,14.01,9.03,0.06,1429.0,1306339.0,0.095
OWID_ASI,Asia,2021-12-28,6161941112.0,3094209147.0,2615484130.0,198566813.0,28248283.0,25823907.0,131.71,66.14,55.9,4.24,5520.0,3373467.0,0.07200000000000001
OWID_CYN,Northern Cyprus,2021-11-26,617389.0,284357.0,275988.0,80243.0,795.0,6011.0,161.52,74.39,72.2,20.99,15726.0,721.0,0.18899999999999997
OWID_ENG,England,2021-12-27,110631978.0,43417529.0,39692427.0,27522022.0,244078.0,384680.0,195.64,76.78,70.19,48.67,6802.0,18704.0,0.033
OWID_EUN,European Union,2021-12-28,734350154.0,324491752.0,308246122.0,120851548.0,1541885.0,1692837.0,164.21,72.56,68.93,27.02,3785.0,166030.0,0.037000000000000005
OWID_EUR,Europe,2021-12-28,1089120459.0,487485364.0,456325664.0,166360267.0,2232700.0,2510070.0,145.42,65.09,60.93,22.21,3351.0,323842.0,0.043
OWID_HIC,High income,2021-12-28,2016732828.0,923592788.0,848990853.0,274154817.0,3064496.0,3969959.0,166.0,76.02,69.88,22.57,3268.0,470704.0,0.039
OWID_KOS,Kosovo,2021-12-28,1666176.0,885582.0,780594.0,,967.0,1320.0,93.49,49.69,43.8,,741.0,911.0,0.051
OWID_LIC,Low income,2021-12-28,76838294.0,55920613.0,27275457.0,,51674.0,498626.0,11.55,8.41,4.1,,750.0,310266.0,0.047
OWID_LMC,Lower middle income,2021-12-28,2795196776.0,1621530079.0,1151769947.0,15913667.0,12977257.0,12238541.0,83.92,48.69,34.58,0.48,3675.0,4100382.0,0.12300000000000001
OWID_NAM,North America,2021-12-28,820887529.0,404000894.0,344994379.0,78250402.0,204764.0,908694.0,137.6,67.72,57.83,13.12,1523.0,178842.0,0.03
OWID_NIR,Northern Ireland,2021-12-27,3483874.0,1396997.0,1294883.0,791994.0,6947.0,12528.0,183.75,73.68,68.3,41.77,6608.0,463.0,0.024
OWID_OCE,Oceania,2021-12-28,53780170.0,26279710.0,25047744.0,2452716.0,42214.0,98404.0,124.43,60.8,57.95,5.67,2277.0,8329.0,0.019
OWID_SAM,South America,2021-12-28,642758102.0,328680737.0,275614088.0,50456297.0,1713587.0,1151629.0,148.01,75.69,63.47,11.62,2652.0,203251.0,0.047
OWID_SCT,Scotland,2021-12-27,11225951.0,4378172.0,4006076.0,2841703.0,0.0,32032.0,205.38,80.1,73.29,51.99,5860.0,608.0,0.011000000000000001
OWID_UMC,Upper middle income,2021-12-28,4182238915.0,1931990924.0,1813446552.0,206857078.0,17155381.0,15747680.0,166.38,76.86,72.14,8.23,6265.0,512717.0,0.02
OWID_WLS,Wales,2021-12-27,6323324.0,2486737.0,2296242.0,1540345.0,0.0,20512.0,199.47,78.45,72.44,48.59,6471.0,454.0,0.013999999999999999
OWID_WRL,World,2021-12-28,9071072379.0,4533068571.0,3841514208.0,496925562.0,33248808.0,32454807.0,115.19,57.56,48.78,6.31,4121.0,5394070.0,0.068
PAK,Pakistan,2021-12-28,153477237.0,95159489.0,68508472.0,,1526150.0,1344715.0,68.15,42.26,30.42,,5971.0,766768.0,0.34
PAN,Panama,2021-12-28,5801105.0,3024827.0,2462661.0,313617.0,24571.0,8736.0,132.4,69.04,56.2,7.16,1994.0,370.0,0.008
PCN,Pitcairn,2021-09-07,94.0,47.0,47.0,,,0.0,200.0,100.0,100.0,,0.0,0.0,0.0
PER,Peru,2021-12-25,48228055.0,24228683.0,21041985.0,2957387.0,16232.0,171431.0,144.57,72.63,63.08,8.87,5139.0,27612.0,0.083
PHL,Philippines,2021-12-28,107277506.0,56110301.0,48647158.0,1614505.0,986565.0,713604.0,96.61,50.53,43.81,1.45,6426.0,742492.0,0.669
PNG,Papua New Guinea,2021-12-20,504018.0,283915.0,220103.0,,,774.0,5.53,3.11,2.41,,85.0,192.0,0.002
POL,Poland,2021-12-28,46549512.0,21589717.0,20984699.0,6560576.0,838.0,95836.0,123.16,57.12,55.52,17.36,2536.0,18746.0,0.05
